   UP | seattlea..
 LEFT | freakout..
 LEFT | freakout..
RIGHT | jackson_..
 LEFT | blinky1005
 LEFT | blinky1005
   UP | blinky1004
 DOWN | jackson_..
   UP | preston_..
RIGHT | blinky1004
   UP | blinky1006
 LEFT | blinky1008
   UP | onlylose..
 LEFT | jackson_..
 DOWN | freakout..
   UP | blinky1004
RIGHT | blinky1006
 LEFT | freakout..
 DOWN | blinky1008
 DOWN | blinky1005
RIGHT | onlylose..
 LEFT | seattlea..
RIGHT | jackson_..
   UP | seattlea..
 LEFT | flyerhm
 LEFT | blinky1006
 LEFT | preston_..
   UP | onlylose..
 LEFT | gabriel1..
 LEFT | blinky1005
   UP | blinky1006
RIGHT | gabriel1..
 DOWN | seattlea..
RIGHT | blinky1006
RIGHT | freakout..
 LEFT | blinky1008
 LEFT | gabriel1..
 DOWN | onlylose..
 DOWN | preston_..
 DOWN | blinky1006
 LEFT | freakout..
 LEFT | blinky1006
RIGHT | preston_..
   UP | preston_..
 LEFT | freakout..
 DOWN | jackson_..
 DOWN | blinky1005
 DOWN | blinky1004
 DOWN | flyerhm
RIGHT | onlylose..
RIGHT | blinky1008
RIGHT | jackson_..
RIGHT | preston_..
 DOWN | freakout..
 LEFT | seattlea..
   UP | gabriel1..
   UP | jackson_..
 LEFT | blinky1008
 DOWN | seattlea..
 DOWN | seattlea..
 DOWN | eminem19..
 LEFT | seattlea..
 LEFT | eminem19..
 DOWN | seattlea..
 DOWN | eminem19..
 LEFT | seattlea..
 DOWN | seattlea..
 LEFT | eminem19..
 LEFT | seattlea..
   UP | seattlea..
 LEFT | seattlea..
 LEFT | eminem19..
   UP | eminem19..
   UP | seattlea..
 LEFT | eminem19..
   UP | eminem19..
RIGHT | seattlea..
RIGHT | eminem19..
   UP | eminem19..
 LEFT | seattlea..
RIGHT | eminem19..
RIGHT | seattlea..
   UP | seattlea..
   UP | eminem19..
 LEFT | eminem19..
   UP | eminem19..
 LEFT | seattlea..
 LEFT | eminem19..
   UP | eminem19..
   UP | seattlea..
 LEFT | seattlea..
RIGHT | seattlea..
   UP | eminem19..
   UP | seattlea..
 DOWN | seattlea..
 LEFT | eminem19..
   UP | seattlea..
 LEFT | seattlea..
 LEFT | eminem19..
 LEFT | seattlea..
 LEFT | eminem19..
RIGHT | eminem19..
RIGHT | seattlea..
 DOWN | seattlea..
RIGHT | seattlea..
 DOWN | eminem19..
RIGHT | eminem19..
RIGHT | seattlea..
 DOWN | seattlea..
 DOWN | eminem19..
 LEFT | seattlea..
 DOWN | seattlea..
 DOWN | seattlea..
 DOWN | eminem19..
 DOWN | eminem19..
 DOWN | gabriel1..
 DOWN | seattlea..
 DOWN | eminem19..
RIGHT | seattlea..
RIGHT | eminem19..
 DOWN | seattlea..
 DOWN | eminem19..
RIGHT | seattlea..
RIGHT | eminem19..
   UP | eminem19..
RIGHT | eminem19..
   UP | seattlea..
RIGHT | eminem19..
RIGHT | seattlea..
RIGHT | eminem19..
 DOWN | seattlea..
RIGHT | eminem19..
 DOWN | seattlea..
 DOWN | eminem19..
 DOWN | seattlea..
RIGHT | seattlea..
